"Gene";"counts";"vlist"
"USF1";1;"GoTerms"
"USP15";1;"GoTerms"
"USP16";1;"GoTerms"
"USP21";1;"OMIM"
"USP22";2;"GoTerms,Reaktom"
"USP3";1;"GoTerms"
"USP36";1;"GoTerms"
"USP49";1;"GoTerms"
"USP51";1;"GoTerms"
"UTY";2;"GoTerms,Reaktom"
"VCPKMT";1;"GoTerms"
"VprBP";1;"CellSignal"
"VPS72";2;"GoTerms,OMIM"
"VRK1";1;"GoTerms"
"WDR5";2;"GoTerms,Reaktom"
"WDR5B";1;"GoTerms"
"WDR77";2;"OMIM,Reaktom"
"WDR82";2;"GoTerms,Reaktom"
"WDTC1";2;"GoTerms,OMIM"
"WIZ";1;"GoTerms"
"WRAP53";1;"GoTerms"
"WSTF";1;"CellSignal"
"XRN1";1;"GoTerms"
"YBX1";1;"GoTerms"
"YEATS2";2;"GoTerms,Reaktom"
"YEATS4";2;"GoTerms,Reaktom"
"YWHAB";1;"GoTerms"
"YWHAE";1;"GoTerms"
"ZBTB7A";1;"GoTerms"
"ZBTB7B";1;"GoTerms"
"ZC3H8";1;"GoTerms"
"ZCWPW1";1;"GoTerms"
"ZCWPW2";1;"GoTerms"
"ZEB1";1;"GoTerms"
"ZEB2";1;"GoTerms"
"Zip";1;"CellSignal"
"ZMYND11";1;"GoTerms"
"ZMYND15";1;"GoTerms"
"ZMYND8";1;"GoTerms"
"ZNF217";1;"GoTerms"
"ZNF335";1;"GoTerms"
"ZNF473";2;"GoTerms,Reaktom"
"ZNF496";1;"OMIM"
"ZNF541";1;"GoTerms"
"ZNF638";1;"OMIM"
"ZNF689";1;"GoTerms"
"ZNHIT1";1;"GoTerms"
"ZZEF1";1;"GoTerms"
"ZZZ3";3;"GoTerms,OMIM,Reaktom"
